City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Butaritari,3.0707,172.7902,79.84,82,100,13.4,KI,2022-07-16 04:05:54
1,Mataura,-46.1927,168.8643,48.47,77,70,5.61,NZ,2022-07-16 04:05:06
2,Jamkhandi,16.5167,75.3,78.22,74,100,18.1,IN,2022-07-16 04:01:27
3,Punta Arenas,-53.15,-70.9167,24.91,86,40,13.8,CL,2022-07-16 04:05:09
4,Faanui,-16.4833,-151.75,77.31,69,35,24.96,PF,2022-07-16 04:05:54
5,Kruisfontein,-34.0033,24.7314,53.58,66,100,7.2,ZA,2022-07-16 04:05:54
6,Haines Junction,60.7522,-137.5108,60.93,60,94,4.99,CA,2022-07-16 04:05:55
7,Faxinal,-24.0003,-51.3194,66.42,48,100,6.15,BR,2022-07-16 04:01:18
8,Hofn,64.2539,-15.2082,50.14,90,100,7.34,IS,2022-07-16 04:04:08
9,Ploemeur,47.7333,-3.4333,65.82,57,0,12.66,FR,2022-07-16 04:05:56
10,Leningradskiy,69.3833,178.4167,43.09,69,100,5.61,RU,2022-07-16 04:05:56
11,Huaraz,-9.5333,-77.5333,50.5,65,34,0.2,PE,2022-07-16 04:05:54
12,Taksimo,56.3444,114.8794,71.98,65,100,3.24,RU,2022-07-16 04:05:57
13,Sheridan,44.8333,-106.9173,71.98,53,0,8.05,US,2022-07-16 04:05:57
14,Barrow,71.2906,-156.7887,37.42,81,100,9.22,US,2022-07-16 04:05:57
15,Souillac,-20.5167,57.5167,70.86,72,87,15.68,MU,2022-07-16 04:05:59
16,Green River,41.5286,-109.4662,70.2,55,100,7.7,US,2022-07-16 04:05:59
17,Jamestown,42.097,-79.2353,65.84,67,0,1.01,US,2022-07-16 04:05:17
18,Atuona,-9.8,-139.0333,77.38,74,9,12.77,PF,2022-07-16 04:05:59
19,Kapaa,22.0752,-159.319,82.38,75,40,13.8,US,2022-07-16 04:05:11
20,Kirakira,-10.4544,161.9205,83.73,72,76,12.5,SB,2022-07-16 04:06:00
21,Yumen,40.2833,97.2,76.42,32,100,1.79,CN,2022-07-16 04:06:00
22,Fortuna,40.5982,-124.1573,60.66,90,100,1.99,US,2022-07-16 04:06:01
23,Qaanaaq,77.484,-69.3632,50.97,59,73,8.01,GL,2022-07-16 04:05:11
24,Erie,42.7667,-78.6664,67.42,72,100,1.01,US,2022-07-16 04:06:02
25,Mahebourg,-20.4081,57.7,73.26,72,89,16.31,MU,2022-07-16 04:06:02
26,Hobart,-42.8794,147.3294,56.23,73,75,13.8,AU,2022-07-16 04:06:02
27,Vaini,-21.2,-175.2,78.96,94,20,4.61,TO,2022-07-16 04:06:02
28,Ambulu,-8.345,113.6058,83.14,71,26,7.72,ID,2022-07-16 04:06:03
29,Kavaratti,10.5669,72.642,81.37,80,91,15.66,IN,2022-07-16 04:06:03
30,Busselton,-33.65,115.3333,59.2,70,100,5.44,AU,2022-07-16 04:05:08
31,Carnarvon,-24.8667,113.6333,73.71,43,12,6.93,AU,2022-07-16 04:06:04
32,Gat,31.61,34.7642,74.08,75,0,1.23,IL,2022-07-16 04:06:04
33,Indiana,40.0003,-86.2503,71.19,93,100,7.0,US,2022-07-16 04:06:04
34,Cape Town,-33.9258,18.4232,61.12,67,21,4.16,ZA,2022-07-16 04:05:23
35,Bethel,41.3712,-73.414,71.37,82,38,2.13,US,2022-07-16 04:00:50
36,Marietta,33.9526,-84.5499,80.29,77,20,8.05,US,2022-07-16 04:02:17
37,Buchanan,5.8808,-10.0467,74.52,90,100,6.2,LR,2022-07-16 04:06:05
38,Kloulklubed,7.0419,134.2556,79.3,86,100,6.73,PW,2022-07-16 04:06:06
39,Port Elizabeth,-33.918,25.5701,56.57,69,93,7.54,ZA,2022-07-16 04:05:01
40,Maltahohe,-24.8333,16.9833,46.78,39,0,5.64,NA,2022-07-16 04:06:07
41,Katherine,-14.4667,132.2667,79.12,25,9,11.5,AU,2022-07-16 04:06:07
42,Zyryanka,65.75,150.85,83.28,42,62,3.15,RU,2022-07-16 04:06:07
43,Patacamaya,-17.2333,-67.9167,38.7,24,13,1.34,BO,2022-07-16 04:06:08
44,Cayenne,4.9333,-52.3333,75.09,1,100,0.0,GF,2022-07-16 04:04:08
45,Albany,42.6001,-73.9662,65.79,76,82,2.42,US,2022-07-16 04:00:16
46,Castro,-24.7911,-50.0119,63.21,57,100,7.36,BR,2022-07-16 04:05:06
